;ds;y;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;Christi Himmelfahrt;Christi Himmelfahrt_lower;Christi Himmelfahrt_upper;Erster Mai;Erster Mai_lower;Erster Mai_upper;Erster Weihnachtstag;Erster Weihnachtstag_lower;Erster Weihnachtstag_upper;Karfreitag;Karfreitag_lower;Karfreitag_upper;Neujahr;Neujahr_lower;Neujahr_upper;Ostermontag;Ostermontag_lower;Ostermontag_upper;Pfingstmontag;Pfingstmontag_lower;Pfingstmontag_upper;Reformationstag;Reformationstag_lower;Reformationstag_upper;Tag der Deutschen Einheit;Tag der Deutschen Einheit_lower;Tag der Deutschen Einheit_upper;Zweiter Weihnachtstag;Zweiter Weihnachtstag_lower;Zweiter Weihnachtstag_upper;additive_terms;additive_terms_lower;additive_terms_upper;holidays;holidays_lower;holidays_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat;residuals
20;2011-10-21;16566234.0;11181454.822060857;-87389511.95683157;108945568.35594545;11181454.822060857;11181454.822060857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1132542.3055068834;-1132542.3055068834;-1132542.3055068834;0.0;0.0;0.0;5314798.907236436;5314798.907236436;5314798.907236436;-6447341.21274332;-6447341.21274332;-6447341.21274332;0.0;0.0;0.0;10048912.516553974;-6517321.483446026
21;2011-10-22;68274443.0;11154894.99532386;-89478967.80416785;95240055.04727699;11154894.99532386;11154894.99532386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-11358219.5187494;-11358219.5187494;-11358219.5187494;0.0;0.0;0.0;-6154247.233057038;-6154247.233057038;-6154247.233057038;-5203972.285692363;-5203972.285692363;-5203972.285692363;0.0;0.0;0.0;-203324.52342553996;-68477767.52342553
22;2011-10-23;24489652.0;11128335.168586861;-109508635.63591513;77997086.46636549;11128335.168586861;11128335.168586861;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-22990798.880593672;-22990798.880593672;-22990798.880593672;0.0;0.0;0.0;-19030283.045656852;-19030283.045656852;-19030283.045656852;-3960515.8349368214;-3960515.8349368214;-3960515.8349368214;0.0;0.0;0.0;-11862463.712006811;-36352115.71200681
23;2011-10-24;71923008.0;11101775.341849865;-76440686.64890677;113892518.04228325;11101775.341849865;11101775.341849865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7734317.80413828;7734317.80413828;7734317.80413828;0.0;0.0;0.0;10471503.781320628;10471503.781320628;10471503.781320628;-2737185.9771823487;-2737185.9771823487;-2737185.9771823487;0.0;0.0;0.0;18836093.145988144;-53086914.854011856
24;2011-10-25;-6874279.0;11075215.515112868;-79092592.50072393;108087616.57396898;11075215.515112868;11075215.515112868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3623729.416020523;3623729.416020523;3623729.416020523;0.0;0.0;0.0;5176495.516151519;5176495.516151519;5176495.516151519;-1552766.1001309953;-1552766.1001309953;-1552766.1001309953;0.0;0.0;0.0;14698944.93113339;21573223.93113339
25;2011-10-26;37010094.0;11048655.688375872;-83307530.93187056;108463091.06171899;11048655.688375872;11048655.688375872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1079410.9223549762;1079410.9223549762;1079410.9223549762;0.0;0.0;0.0;1503571.4166966593;1503571.4166966593;1503571.4166966593;-424160.4943416831;-424160.4943416831;-424160.4943416831;0.0;0.0;0.0;12128066.610730847;-24882027.38926915
26;2011-10-27;-4952933.0;11022095.861638874;-81555135.05841993;113150213.44701819;11022095.861638874;11022095.861638874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3352152.761096758;3352152.761096758;3352152.761096758;0.0;0.0;0.0;2718160.6573630916;2718160.6573630916;2718160.6573630916;633992.1037336662;633992.1037336662;633992.1037336662;0.0;0.0;0.0;14374248.62273563;19327181.62273563
27;2011-10-28;109090312.0;10995536.034901878;-87116362.30706684;119377457.44104412;10995536.034901878;10995536.034901878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6924431.411676322;6924431.411676322;6924431.411676322;0.0;0.0;0.0;5314798.90723895;5314798.90723895;5314798.90723895;1609632.504437372;1609632.504437372;1609632.504437372;0.0;0.0;0.0;17919967.4465782;-91170344.5534218
28;2011-10-29;84536704.0;10968976.20816488;-86459251.920759;99870605.88698652;10968976.20816488;10968976.20816488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3660732.9626323306;-3660732.9626323306;-3660732.9626323306;0.0;0.0;0.0;-6154247.2330640415;-6154247.2330640415;-6154247.2330640415;2493514.2704317113;2493514.2704317113;2493514.2704317113;0.0;0.0;0.0;7308243.24553255;-77228460.75446746
29;2011-10-30;242865.0;10942416.381427884;-98654047.92254606;86077871.74707043;10942416.381427884;10942416.381427884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-15750932.76127882;-15750932.76127882;-15750932.76127882;0.0;0.0;0.0;-19030283.04565093;-19030283.04565093;-19030283.04565093;3279350.28437211;3279350.28437211;3279350.28437211;0.0;0.0;0.0;-4808516.379850935;-5051381.379850935
